
2025/04/18 (02:36:30) | ===> btop++ v.1.4.0
2025/04/18 (02:36:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/18 (02:39:28) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (02:39:40) | ===> btop++ v.1.4.0
2025/04/18 (02:39:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/18 (02:40:39) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (03:35:31) | ===> btop++ v.1.4.0
2025/04/18 (03:35:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/18 (03:36:18) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (04:41:07) | ===> btop++ v.1.4.0
2025/04/18 (04:41:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/18 (04:42:26) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:48:34) | ===> btop++ v.1.4.0
2025/04/19 (00:48:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (00:49:26) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (01:34:10) | ===> btop++ v.1.4.0
2025/04/19 (01:34:10) | WARNING: Intel GPU: Failed to initialize PMU
